scientific_name,common_name,family,growth_form,nativity,usda_plants_symbol,is_favorite,notes
Sorghastrum nutans,Indiangrass,Poaceae,graminoid,native,SONU2,1,tallgrass core; 10% of mix
Bouteloua curtipendula,Sideoats Grama,Poaceae,graminoid,native,BOCU,1,state grass; quick on thin soils
Bouteloua dactyloides,Buffalograss,Poaceae,graminoid,native,BODA2,1,sod-forming shortgrass; Texoka burrs
Elymus canadensis,Canada Wildrye,Poaceae,graminoid,native,ELCA4,1,cool-season nurse grass; fall-sow
Elymus virginicus,Virginia Wildrye,Poaceae,graminoid,native,ELVI3,1,shade-tolerant cool-season; drainage edges
Panicum obtusum,Vine Mesquite,Poaceae,graminoid,native,,1,stoloniferous healer for gullies and wet edges
Tripsacum dactyloides,Eastern Gamagrass,Poaceae,graminoid,native,TRDA3,1,bottomland clumper; stratify or divide
Tridens albescens,White Tridens,Poaceae,graminoid,native,TRAL2,1,tolerates caliche patches; 2% of blend
Andropogon glomeratus,Bushy Bluestem,Poaceae,graminoid,native,ANGL2,1,wetland pocket; plugs plus dormant seeding
Eleocharis montevidensis,Sand Spikerush,Cyperaceae,graminoid,native,,1,wetland pocket core; rhizomatous sod
Carex microdonta,Littletooth Sedge,Cyperaceae,graminoid,native,,1,wet-meadow sedge; best local claim; hard to buy
Carex perdentata,Texas Meadow Sedge,Cyperaceae,graminoid,native,,1,Texas endemic; drier ring and shade edge
Carex cherokeensis,Cherokee Sedge,Cyperaceae,graminoid,native,,1,availability trial; slightly out of core range
Juncus marginatus,Grass-leaved Rush,Juncaceae,graminoid,native,,1,wetland pocket ring; well documented nearby
Phyla nodiflora,Frogfruit,Verbenaceae,forb,native,PHNO2,1,matting groundcover; butterfly host; easiest bench job
Helenium autumnale,Common Sneezeweed,Asteraceae,forb,native,HEAU,1,fall wet-meadow nectar; toxic in hay
Schoenoplectus pungens,Three-square Bulrush,Cyperaceae,graminoid,native,,1,conditional; deepest spot if pond holds water
Desmanthus illinoensis,Illinois Bundleflower,Fabaceae,forb,native,DEIL,1,key native legume; 6% of mix; scarify and inoculate
Centaurea americana,American Basketflower,Asteraceae,forb,native,CEAM,1,native annual; first-year color bridge
Engelmannia peristenia,Engelmann Daisy,Asteraceae,forb,native,ENPE4,1,deep-rooted perennial; early yellow bloom
Helianthus maximiliani,Maximilian Sunflower,Asteraceae,forb,native,HEMA2,1,late-summer nectar and bird seed; rhizomatous
Liatris punctata,Dotted Gayfeather,Asteraceae,forb,native,LIPU,1,monarch magnet; slow from seed
Rudbeckia hirta,Black-eyed Susan,Asteraceae,forb,native,RUHI2,1,reliable pioneer; self-sows
Ratibida columnifera,Mexican Hat,Asteraceae,forb,native,RACO3,1,workhorse of the forb fraction
Dalea purpurea,Purple Prairie Clover,Fabaceae,forb,native,DAPU5,1,premier native legume; native bee favorite
Croton monanthogynus,Prairie Tea,Euphorbiaceae,forb,native,CRMO6,1,dove and quail food; volunteers on disturbance
Quercus buckleyi,Texas Red Oak,Fagaceae,tree,native,QUBU2,0,upland canyons; oak wilt caution
Quercus sinuata var. breviloba,White Shin Oak,Fagaceae,shrub,native,,0,forms shinneries on limestone
Quercus marilandica,Blackjack Oak,Fagaceae,tree,native,QUMA3,0,Cross Timbers sandy uplands
Quercus shumardii,Shumard Oak,Fagaceae,tree,native,QUSH,0,bottomland red oak
Juniperus ashei,Ashe Juniper,Cupressaceae,tree,native,JUAS,0,manage density; old-growth is warbler habitat
Juniperus virginiana,Eastern Redcedar,Cupressaceae,tree,native,JUVI,0,eastern counterpart of Ashe juniper
Prosopis glandulosa,Honey Mesquite,Fabaceae,tree,native,PRGL2,0,native increaser on overgrazed ground
Fraxinus albicans,Texas Ash,Oleaceae,tree,native,,0,syn. F. texensis; limestone slopes
Fraxinus pennsylvanica,Green Ash,Oleaceae,tree,native,FRPE,0,riparian
Juglans nigra,Black Walnut,Juglandaceae,tree,native,JUNI,0,riparian; deep soils
Juglans microcarpa,Little Walnut,Juglandaceae,tree,native,JUMI,0,creek banks on limestone
Sapindus saponaria var. drummondii,Western Soapberry,Sapindaceae,tree,native,,0,fencerows and draws
Sideroxylon lanuginosum,Gum Bumelia,Sapotaceae,tree,native,SILA20,0,tough small tree; bird fruit
Morus rubra,Red Mulberry,Moraceae,tree,native,MORU2,0,riparian understory; wildlife fruit
Ulmus americana,American Elm,Ulmaceae,tree,native,ULAM,0,bottomland
Gleditsia triacanthos,Honey Locust,Fabaceae,tree,native,GLTR,0,bottomland; thorny
Maclura pomifera,Osage Orange,Moraceae,tree,native,MAPO,0,bois d'arc; old fencerows
Diospyros virginiana,Common Persimmon,Ebenaceae,tree,native,DIVI5,0,wildlife fruit; eastern element
Aesculus glabra var. arguta,Texas Buckeye,Sapindaceae,tree,native,AEGLA,0,creek margins; early leaf-out; goes dormant by summer
Ungnadia speciosa,Mexican Buckeye,Sapindaceae,shrub,native,UNSP,0,limestone slopes; pink spring bloom
Sophora secundiflora,Texas Mountain Laurel,Fabaceae,shrub,native,SOSE3,0,evergreen; syn. Dermatophyllum secundiflorum
Eysenhardtia texana,Texas Kidneywood,Fabaceae,shrub,native,EYTE,0,pollinator shrub; browse
Callicarpa americana,American Beautyberry,Lamiaceae,shrub,native,CAAM2,0,riparian shade; bird fruit
Amorpha fruticosa,False Indigo Bush,Fabaceae,shrub,native,AMFR,0,riparian; bank stabilizer
Baccharis neglecta,Poverty Weed,Asteraceae,shrub,native,,0,native pioneer on disturbed ground; short-lived
Ziziphus obtusifolia,Lotebush,Rhamnaceae,shrub,native,ZIOB,0,quail cover
Mimosa aculeaticarpa var. biuncifera,Catclaw Mimosa,Fabaceae,shrub,native,,0,thin rocky uplands
Vachellia farnesiana,Huisache,Fabaceae,shrub,native,,0,southern element; occasional
Rhus virens,Evergreen Sumac,Anacardiaceae,shrub,native,,0,limestone slopes; evergreen cover
Aloysia gratissima,Whitebrush,Verbenaceae,shrub,native,ALGR2,0,bee brush; draws
Symphoricarpos orbiculatus,Coralberry,Caprifoliaceae,shrub,native,SYOR,0,shade thickets; Cross Timbers
Frangula caroliniana,Carolina Buckthorn,Rhamnaceae,shrub,native,FRCA13,0,understory; bird fruit
Ptelea trifoliata,Wafer Ash,Rutaceae,shrub,native,PTTR,0,giant swallowtail host
Viburnum rufidulum,Rusty Blackhaw,Adoxaceae,shrub,native,VIRU,0,understory; fall color
Yucca pallida,Pale Yucca,Asparagaceae,succulent,native,YUPA,0,Lampasas Cut Plain near-endemic
Nolina texana,Texas Sacahuista,Asparagaceae,other,native,,0,grass-like lily on rock outcrops
Dasylirion texanum,Texas Sotol,Asparagaceae,succulent,native,,0,Edwards Plateau slopes
Opuntia engelmannii,Texas Pricklypear,Cactaceae,succulent,native,OPEN3,0,wildlife fruit; increaser
Echinocereus reichenbachii,Lace Cactus,Cactaceae,succulent,native,,0,limestone outcrops
Toxicodendron radicans,Poison Ivy,Anacardiaceae,vine,native,TORA2,0,riparian; wildlife value despite reputation
Parthenocissus quinquefolia,Virginia Creeper,Vitaceae,vine,native,PAQU2,0,riparian; bird fruit
Smilax bona-nox,Saw Greenbrier,Smilacaceae,vine,native,SMBO2,0,thicket cover; browse
Campsis radicans,Trumpet Creeper,Bignoniaceae,vine,native,CARA2,0,aggressive native; hummingbirds
Cocculus carolinus,Carolina Snailseed,Menispermaceae,vine,native,,0,fencerows; red bird fruit
Clematis drummondii,Old Man's Beard,Ranunculaceae,vine,native,,0,fencerows; feathery seedheads
Passiflora incarnata,Maypop,Passifloraceae,vine,native,,0,fritillary host
Nassella leucotricha,Texas Wintergrass,Poaceae,graminoid,native,NALE3,0,cool-season; speargrass seed
Bothriochloa laguroides,Silver Bluestem,Poaceae,graminoid,native,,0,native; do not confuse with KR bluestem
Aristida purpurea,Purple Threeawn,Poaceae,graminoid,native,ARPU9,0,thin rocky ground; early seral
Sporobolus compositus,Tall Dropseed,Poaceae,graminoid,native,,0,persistent midgrass
Sporobolus cryptandrus,Sand Dropseed,Poaceae,graminoid,native,SPCR,0,disturbed ground colonizer
Eragrostis intermedia,Plains Lovegrass,Poaceae,graminoid,native,ERIN,0,decreaser; good range condition indicator
Muhlenbergia reverchonii,Seep Muhly,Poaceae,graminoid,native,,0,limestone seeps; Cut Plain classic
Muhlenbergia lindheimeri,Lindheimer Muhly,Poaceae,graminoid,native,,0,Edwards Plateau drainages
Hilaria belangeri,Curly Mesquite,Poaceae,graminoid,native,HIBE,0,shortgrass sod on shallow soils
Bouteloua rigidiseta,Texas Grama,Poaceae,graminoid,native,BORI,0,shallow limestone soils
Bouteloua hirsuta,Hairy Grama,Poaceae,graminoid,native,BOHI2,0,rocky uplands
Bouteloua gracilis,Blue Grama,Poaceae,graminoid,native,BOGR2,0,shortgrass; western element
Setaria leucopila,Plains Bristlegrass,Poaceae,graminoid,native,,0,quail seed; drills well
Digitaria californica,Arizona Cottontop,Poaceae,graminoid,native,DICA8,0,drought-hardy midgrass
Leptochloa dubia,Green Sprangletop,Poaceae,graminoid,native,LEDU,0,quick cover in native mixes
Tridens flavus,Purpletop,Poaceae,graminoid,native,TRFL2,0,old-field midgrass
Panicum hallii,Hall's Panicum,Poaceae,graminoid,native,PAHA,0,common on limestone
Chasmanthium latifolium,Inland Sea Oats,Poaceae,graminoid,native,CHLA5,0,riparian shade; easy from seed
Typha domingensis,Southern Cattail,Typhaceae,graminoid,native,,0,native but aggressive in ponds; watch the wetland pocket
Adiantum capillus-veneris,Southern Maidenhair Fern,Pteridaceae,fern,native,ADCA,0,spring seeps on limestone
Lupinus texensis,Texas Bluebonnet,Fabaceae,forb,native,LUTE,0,scarify; fall-sow
Castilleja indivisa,Texas Paintbrush,Orobanchaceae,forb,native,,0,hemiparasitic; sow with grasses
Gaillardia pulchella,Indian Blanket,Asteraceae,forb,native,GAPU,0,easy annual color
Coreopsis tinctoria,Plains Coreopsis,Asteraceae,forb,native,COTI3,0,annual; likes swales
Monarda citriodora,Lemon Beebalm,Lamiaceae,forb,native,MOCI,0,annual; pollinator sheets in May
Salvia azurea,Blue Sage,Lamiaceae,forb,native,SAAZ,0,fall blue; deep-rooted
Salvia farinacea,Mealy Blue Sage,Lamiaceae,forb,native,SAFA2,0,long bloom; limestone
Echinacea angustifolia,Black Samson,Asteraceae,forb,native,ECAN2,0,prairie coneflower; slow from seed
Asclepias asperula,Antelope Horns,Apocynaceae,forb,native,ASAS,0,monarch host; limestone
Asclepias viridis,Green Milkweed,Apocynaceae,forb,native,,0,monarch host; pastures
Callirhoe involucrata,Winecup,Malvaceae,forb,native,CAIN2,0,trailing; scarify seed
Oenothera speciosa,Pink Evening Primrose,Onagraceae,forb,native,OESP2,0,spreads; roadside pink
Glandularia bipinnatifida,Prairie Verbena,Verbenaceae,forb,native,GLBI2,0,long bloom; low cover
Thelesperma filifolium,Greenthread,Asteraceae,forb,native,THFI,0,easy annual; Navajo tea relative
Tetraneuris scaposa,Four-nerve Daisy,Asteraceae,forb,native,,0,blooms nearly year-round on limestone
Penstemon cobaea,Prairie Penstemon,Plantaginaceae,forb,native,PECO4,0,showy; limestone classic
Symphyotrichum ericoides,Heath Aster,Asteraceae,forb,native,SYER,0,fall nectar
Solidago altissima,Tall Goldenrod,Asteraceae,forb,native,SOAL6,0,fall nectar; rhizomatous
Vernonia baldwinii,Western Ironweed,Asteraceae,forb,native,VEBA,0,purple midsummer; pastures
Verbesina virginica,Frostweed,Asteraceae,forb,native,VEVI3,0,riparian shade; frost flowers; monarch stopover nectar
Conoclinium coelestinum,Blue Mistflower,Asteraceae,forb,native,,0,riparian; queens and monarchs
Helianthus annuus,Common Sunflower,Asteraceae,forb,native,HEAN3,0,dove food; volunteers on disturbance
Ambrosia psilostachya,Western Ragweed,Asteraceae,forb,native,AMPS,0,quail and dove seed; native increaser
Chamaecrista fasciculata,Partridge Pea,Fabaceae,forb,native,CHFA2,0,annual legume; quail food
Dalea candida,White Prairie Clover,Fabaceae,forb,native,DACA7,0,native legume; scarify and inoculate
Neptunia lutea,Yellow Puff,Fabaceae,forb,native,,0,low native legume
Eryngium leavenworthii,Leavenworth's Eryngo,Apiaceae,forb,native,,0,purple late-summer annual
Marshallia caespitosa,Barbara's Buttons,Asteraceae,forb,native,,0,limestone outcrops; Cut Plain specialty
Argemone albiflora,White Prickly Poppy,Papaveraceae,forb,native,,0,disturbed ground; pollen plant
Rivina humilis,Pigeonberry,Petiveriaceae,forb,native,RIHU,0,shade groundcover; bird fruit
Wedelia texana,Zexmenia,Asteraceae,forb,native,,0,tough limestone subshrub; long bloom
Paspalum dilatatum,Dallisgrass,Poaceae,graminoid,introduced,PADI,0,pasture relic
Panicum coloratum,Kleingrass,Poaceae,graminoid,introduced,,0,persists from old plantings
Eragrostis curvula,Weeping Lovegrass,Poaceae,graminoid,introduced,ERCU2,0,old seeding relic
Bromus catharticus,Rescuegrass,Poaceae,graminoid,introduced,,0,cool-season annual
Bromus japonicus,Japanese Brome,Poaceae,graminoid,introduced,,0,cool-season annual; thatch former
Melilotus officinalis,Yellow Sweetclover,Fabaceae,forb,introduced,MEOF,0,roadsides
Torilis arvensis,Hedge Parsley,Apiaceae,forb,introduced,,0,beggar's lice; ubiquitous in shade
Bothriochloa ischaemum var. songarica,King Ranch Bluestem,Poaceae,graminoid,invasive,BOIS,0,primary grassland invader; scout every seeding
Dichanthium annulatum,Kleberg Bluestem,Poaceae,graminoid,invasive,,0,old world bluestem
Sorghum halepense,Johnsongrass,Poaceae,graminoid,invasive,SOHA,0,disturbed ground and drainages
Cynodon dactylon,Bermudagrass,Poaceae,graminoid,invasive,CYDA,0,incl. Tifton 85; the hay monoculture under conversion
Arundo donax,Giant Reed,Poaceae,graminoid,invasive,ARDO4,0,riparian; watch the river strip
Tamarix ramosissima,Saltcedar,Tamaricaceae,shrub,invasive,TARA,0,riparian invader
Ligustrum sinense,Chinese Privet,Oleaceae,shrub,invasive,LISI,0,riparian understory invader
Ligustrum japonicum,Japanese Privet,Oleaceae,shrub,invasive,LIJA,0,bird-spread from plantings
Lonicera japonica,Japanese Honeysuckle,Caprifoliaceae,vine,invasive,LOJA,0,smothers understory
Melia azedarach,Chinaberry,Meliaceae,tree,invasive,MEAZ,0,fencerows and draws
Triadica sebifera,Chinese Tallow,Euphorbiaceae,tree,invasive,TRSE6,0,watch wet ground
Ailanthus altissima,Tree of Heaven,Simaroubaceae,tree,invasive,AIAL,0,allelopathic; root suckers
Ulmus pumila,Siberian Elm,Ulmaceae,tree,invasive,ULPU,0,old plantings; wind-spread
Pyrus calleryana,Callery Pear,Rosaceae,tree,invasive,,0,bird-spread from town
Nandina domestica,Nandina,Berberidaceae,shrub,invasive,NADO,0,berries toxic to birds
Centaurea melitensis,Malta Star-thistle,Asteraceae,forb,invasive,CEME2,0,spring rosettes; mow before bloom
Carduus nutans,Musk Thistle,Asteraceae,forb,invasive,CANU4,0,pasture thistle
Rapistrum rugosum,Bastard Cabbage,Brassicaceae,forb,invasive,RARU,0,yellow mustard; crowds spring wildflowers
Convolvulus arvensis,Field Bindweed,Convolvulaceae,vine,invasive,COAR4,0,cropland relic
